,movie_id,titile,comment_id,positive,negative
33,20584,просто відбірний кал...,14498,0.0116972560063004,0.3415925204753876
180,20584,"всем советую очень хороший фильм,программа отличная,",14332,0.6513648629188538,0.0185565669089555
1844,20584,просто супер! ,12573,0.99745911359787,0.015434555709362
2106,20584,"бред, какая-то воспаленная фантазия, сюр",12349,0.1294127255678177,0.7606606483459473
3090,20584,"как же я незнала об этом давно ,качество отличное, очень приятно смотреть. ",11200,0.880807101726532,0.1366183906793594
3426,20584,"хотел посмотреть Гладиатор,  в поиске попалась эта херня",10961,0.1441588550806045,0.2689514458179474
3540,20584,офігений фільм давно таких небачив і муз.супер!!,10830,0.3557848632335663,0.0600966475903987
3600,20584,"очень хорошее приложение, большой выбор, отличные фильмы. советую",10768,0.7879412174224854,0.0179962143301963
4345,20584,"очень хороший фильм, и программа отличная всем советую",9972,0.6654205918312073,0.0145135829225182
7475,20584,"Отжеж, воно відірване. в гарному сенсі цього слова. Фільм сподобався. Стільки люті, саме те,  що треба подивитись після офісних буднів.",6532,0.0373368822038173,0.2281664758920669
8526,20584,только люди у которых не всё в порядке с головой могли придумать такой бред.,5365,0.0758681744337081,0.6001983880996704
8527,20584,давно такого говна не видел.,5364,0.0185565669089555,0.1097157895565033
9297,20584,"Динамічний бойовик з чорним гумором, приправлений сучасними трендами: стрими, тролі в коментарях, відеоігри та багато іншого.",4534,0.0179962143301963,0.0737062692642211
